Japanese,English
何,what
あ,a
あなた,you
言,Word
行,line
人,Man
知,Knowledge
事,case
彼女,she
お前,you
話,Talk
来,Coming
分か,Division
者,person
聞,Hearing
死,death
時,Time
ああ,Oh
殺,Killing
前,Previous
中,During ~
達,Daiser
必要,requirement
あの,that
気,air
大丈夫,are you OK
自分,myself
持,Holding
本当,For real
時間,time
我々,we
一,one
的,Intended
無,Nothing
ありがとう,Thank you
家,House
会,Meeting
日,Day
年,Year
仕事,work
手,hand
一緒,together
後,rear
出来,Good
他,other
入,Entering
電話,phone
目,eye
様,looks
分,Part
車,car
所,Place
あんた,You
度,Every time
同じ,same
場所,place
問題,problem
子供,child
愛,Love
金,Money
名前,name
子,Child
信,Religion
さあ,here we go
少し,a bit
使,Use
全て,all
世界,world
教え,lesson
通り,street
来る,come
上,Up
入れ,Get in
人間,human
行け,go
今日,today
物,object
女,woman
呼,Call
生き,Life
あれ,that
じゃあ,Then
止め,Stop
心配,anxiety
母,mother
連れ,Companion
関係,relationship
外,Outside
家族,family
起き,Rising
意味,meaning
神,God
警察,police
力,Power
最後,last
作,Work
次,Next
息子,son
取,Take
全部,All
間,while
書,book
捜査,investigation
起こ,Rising
回,times
別,another
情報,information
理由,cause
数,number
一人,One person
部屋,room
以上,that's all
人生,life
急,Sudden
食べ,eat
女性,Woman
続け,continue
事件,Case
始め,start
最初,first time
連絡,contact
まあ,oh dear
調べ,Investigation
安全,safety
下さ,Slapstick
楽し,Pleasure
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,promise
二,two
結婚,marriage
無理,unreasonableness
感じ,Feeling
得,Benefit
最高,Best
送,Sending
計画,plan
仲間,fellow
先,Precedence
可能,Possible
あいつ,that person
あと,another thing
明日,tomorrow
変わ,Change
聞こえ,Hear
確認,confirmation
命,life
着,Wearing
与え,Giving
全員,All
動,Movement
理解,Understanding
二人,Two persons
開け,open
友人,friend
機,Machine
不,Unprecedented
あげ,Gain
離れ,Farewell
戦,War
先生,teacher
言え,say
質問,question
置,Place
犯人,culprit
受け,received
感,Feeling
第,First
あぁ,Ahh
伝え,Conveyor
素晴らし,Wonderful
ドア,door
本,Book
乗,Boarding
用,for
感謝,Gratitude
正し,Right
言葉,words
大,Big
立,Standing up
写真,Photo
２人,Two people
説明,explanation
博士,Doctor
強,strength
絶対,absolutely
座,seat
国,Country
向か,Opposite
名,Name
ある,be
野郎,Boss
番,Rank
一番,number one
重要,important
状況,situation
元気,well
水,water
変え,Change
十分,sufficient
週間,week
やあ,Hi
父親,father
間違い,error
王,king
了解,roger that
相手,partner
員,Member
声,voice
会え,Meet
音,sound
多く,Many
消え,vanish
会社,Company
簡単,Easy
選,Selection
残念,disappointing
自由,freedom
自身,Themselves
等,etc
一体,Integral
人々,people
報告,report
読,Reading
過ぎ,Over
通,Passage
アメリカ,America
元,Origin
命令,order
高,High
体,body
大統領,president
月,Moon
警官,Police officer
語,word
学校,school
対,versus
決め,Decision
真実,truth
初めて,first time
口,mouth
大変,hard
要,Key
変,strange
戦争,war
学,Learning
あそこ,over there
武器,weapon
店,shop
母親,mother
刑事,Criminal
気持ち,feeling
間違,mistake
運,luck
記録,record
光,light
手伝,help
深,Deep
落ち着,Calmness
存在,Existence
実,fruit
役,Role
病院,hospital
住,Residence
責任,responsibility
あっ,Ah
普通,usually
行動,Behavior
大きな,big
監視,Monitoring
協力,Cooperation
多分,perhaps
実際,actual
足,leg
地球,Earth
生活,life
任せ,leave to
気分,Feeling
解決,Solution
結果,result
調査,Investigation
研究,the study
何処,where
発見,discover
場,Place
大事,Important
止ま,Stopping
興味,interest
大き,big
生,Raw
なあ,What
運転,drive
ヶ月,months
多,Many
１人,One person
番号,number
状態,situation
来い,come
開,Open
上手,good
済,Already
場合,case
刑務,Punishment
今度,next time
以外,apart from
朝,Morning
飛行,Flight
あまり,not really
近く,shortly
後ろ,back
目的,Purpose
歌,song
面白,Fun
弁護,Defense
客,Customer
売,Selling
特別,special
昨日,yesterday
少な,Small
認め,Recognition
死体,cadaver
医者,doctor
装置,Device
共,Both
唯一,Only
あんな,Such a thing
不明,not clear
限り,as long as
信用,credit
美し,beautiful
用意,preparation
話せ,Talk
移動,Migration
映画,movie
美咲,Beauty
取引,transaction
最近,Recently
現場,Site
事故,accident
連中,People
過去,past
全く,not at all
選択,Selection
完全,Perfect
信じ,Belief
信頼,trust
町,town
何故,why
始ま,Beginning
精神,spirit
付け,Attachment
あら,Oh
女の子,girl
気づ,Awareness
記憶,Memory
頑張,Hard -working
2人,Two people
素敵,splendid
身,Body
価値,worth
有,Existence
非常,Informal
三,three
最も,most
両親,parents
人物,person
生まれ,birth
警備,security
以前,Before
無事,Safely
聞け,Hear
決して,never
銀行,Bank
馬鹿,fool
裁判,trial
降り,Falling off
大学,University
州,state
今回,this time
空,Sky
経験,experience
本物,Real thing
部,Department
化,Conversion
未来,future
正直,honest
年間,Year
無駄,Useless
現れ,Appearance
島,island
病気,illness
内,Inside
風,Wind
結構,very well
治療,Treatment
予定,schedule
点,point
1人,1 person
許可,permission
勇気,courage
最悪,terrible
本気,Seriousness
全然,at all
任務,mission
日本,Japan
作戦,Operation
成功,success
進,Proceeding
近づ,Close
品,Item
消,Extinguishing
小さな,small
科学,Science
放,Relief
向こう,Across
事実,fact
食,Food
関,Relation
戦い,Fight
少年,boy
爆発,explosion
現実,reality
保護,protection
地下,underground
隊,Corps
地,Earth
別れ,farewell
時代,Era
使え,Useful
組織,Organization
式,formula
落ち着け,Calmness
動物,animal
無し,None
下が,Below
技術,Technology
個人,Individual
期待,Expectation
調子,condition
線,line
局,Bureau
利用,use
主人,master
館,Mansion
毎日,every day
付,Attached
当然,Of course
患者,patient
全,all
今朝,this morning
過ご,Spending
馬,Horse
あー,ah
あたし,I
立て,stand up
地獄,hell
合,Agency
続,Continuation
陛下,His Majesty
小さ,small
火,fire
平気,Calm
世話,care
能力,ability
理子,Riko
検査,test
アレックス,Alex
木,wood
号,issue
山,Mountain
解,Solution
警部,Police officer
食事,meal
幸運,Luck
構,Strategy
侵入,Invasion
駄目,Useless
緊急,emergency
親父,father
気付,care
主,main
速,Fast
代わり,Substitute
休,Rest
原因,Cause
警告,warning
山里,Mountain village
特に,especially
部下,Subordinate
運命,Fate
到着,arrival
自殺,suicide
屋,Shop
現在,Current
一部,part
行為,action
遺体,Body
大切,important
関わ,Involved
常,Always
感情,Emotion
夕食,dinner
星,Star
達也,Tatsuya
手紙,letter
混乱,confusion
支配,Rule
影響,Impact
受け入れ,accept
知れ,Acquaintance
行方,Whereabouts
少女,Girl
位,Position
半分,half
誕生,birth
超,Super
施設,institution
殺せ,Kill
向け,for
機会,chance
人類,Human race
正確,correct
色々,various
活動,Activity
料理,cooking
要求,request
再,Re -
指示,Instruction
部隊,Unit
何者,Who
音楽,music
上げ,Raising
管理,management
映像,picture
開始,start
議員,Parliamentarians
反対,oppose
勝手,selfish
器,vessel
反応,reaction
可愛,cute
権利,right
女王,Queen
師,Teacher
大好き,really like
面倒,troublesome
出発,departure
引,Pulling out
保安,security
上が,Above
決ま,Decision
楽しみ,fun
行き,Going out
将軍,General
担当,responsible person
事態,situation
一杯,a cup of
近,Close
発,Departure
取り戻,Reconciliation
偉大,Greatness
結局,in the end
ロシア,Russia
司令,command
平和,peace
解放,release
直,straight
事務,Administrative office
瞬間,moment
教授,Professor
示,Indication
教会,Church
優し,Kind
位置,position
以来,Since
突然,suddenly
付き合,Association
集中,concentration
通信,communication
あっち,There
契約,Agreement
異常,Abnormality
殺し,Killing
部分,part
様子,state
沢山,Lot
住所,address
参加,Participation
旅,Journey
社,Shrine
重,Heavy
自然,Nature
殺害,Murder
園,Garden
速人,Fastjin
途中,in the middle
証言,testimony
夏美,Summer beauty
取れ,Gain
前回,last time
手術,Surgery
強盗,robbery
種,seed
魔女,witch
信号,signal
専門,Specialty
閣下,Your Honor
会議,meeting
美月,Beauty
提供,Providing
離,Separation
荷物,load
安心,relief
基地,base
目撃,Witness
動き,Movement
指,finger
時々,Sometimes
怪物,monster
会話,conversation
受け取,Receipt
一致,match
全体,whole
徳井,Tokui
アンタ,You
親,parent
天使,angel
勝利,victory
主義,Principle
旅行,trip
死亡,death
夫人,Mrs.
目標,Target
個,Pieces
中国,China
生徒,student
建物,building
確信,conviction
出会,encounter
使用,use
台,Stand
社会,society
周り,Around
市民,Citizen
色,colour
停止,Stop
曲,song
実験,experiment
直接,Directly
川,river
ありがと,thank you
実行,execution
半,half
乗せ,Carrying
後悔,regret
案内,guidance
禁止,Ban
距離,distance
次第,depend on
感染,infection
制御,control
有名,Famous
戦闘,fight
以内,Within
書類,document
偶然,Accidentally
機械,machine
最終,Last
無視,ignore
王子,prince
呼吸,Breathing
巨人,Giant
軍隊,army
支援,support
大人,adult
同意,Agreement
恋人,lover
知り合い,acquaintance
努力,effort
白,White
足り,Suffering
進め,Advancement
惑星,planet
味方,Ally
回復,recovery
新聞,newspaper
話し,story
アパート,Apartment
組,set
アア,Ah
生き残,Survival
一生,lifetime
処理,process
兵器,weapons
方向,direction
決定,Decision
当た,Afterwards
アクセス,access
満足,satisfaction
クレア,Claire
神経,Nerve
症,Illness
親友,Close friend
流,Style
分析,analysis
不思議,wonder
限,Limit
半田,solder
物語,story
ア,ah
練習,training
久し,A long time
他人,others
両方,both
南,South
成長,growth
再び,again
医,Doctor
指揮,Command
最大,maximum
病,disease
記事,article
時計,clock
アラン,Alan
手段,means
高校,high school
太陽,Sun
具合,Condition
青,Blue
向,Direction
才能,talent
交換,exchange
所有,Ownership
最低,Lowest
救急,Emergency
魅力,charm
楽,easy
応答,response
最,Best
修理,repair
勉強,study
提案,suggestion
資金,Funds
社長,president
ありさ,Existence
試合,game
気の毒,Sorry
金持ち,Rich man
安定,Stability
指紋,fingerprint
流れ,flow
経,Sutra
団,Group
代,Substitute
日間,Day
午後,afternoon
政治,Politics
正体,Identity
確保,Securing
機能,function
優秀,excellence
動か,move
発生,occurrence
英雄,hero
立場,position
電気,Electricity
帽子,hat
効果,effect
アンナ,Anna
条件,conditions
確実,certainty
連邦,Federation
規則,Rule
土地,land
直ぐ,immediately
卒業,graduation
手がかり,clue
自己,self
列車,train
加減,Degree
暴力,violence
立派,fine
石,stone
同様,Same
不安,anxiety
身体,body
ライアン,Ryan
無線,wireless
対処,handle
権,Right
起動,Start-up
誤解,Misunderstanding
治,Healing
雄基,Male group
接触,contact
名誉,honor
説得,Persuasion
特定,identification
標的,target
正義,justice
見張,Insight
導,Guidance
無実,Innocence
アイツ,Guys
興奮,excitement
承知,know
納得,agreement
光栄,Honor
本部,Headquarters
変更,change
大佐,Colonel
空気,air
支払,payment
あらゆる,every
表,table
片付け,Cleaning up
アダム,Adam
地図,map
法律,law
医療,medical care
台無し,spoil
非,Unlucky
貴様,you
形,shape
評価,evaluation
都市,City
出身,where one is from
釈放,release
大した,Great
保証,guarantee
予想,Predict
省,Ministry
疑問,Question
同僚,colleague
変化,change
交渉,negotiation
合わせ,Match
生命,life
村,village
作業,work
将来,future
面,surface
悠里子,Yuriko
空港,airport
指輪,ring
巨大,Huge
西,West
手配,Arrangement
工場,plant
城,castle
取り,take
話し合,Discussion
東,east
あるいは,or
目覚め,Awakening
金庫,safe
間違え,Mistake
馬場,Baba
内部,internal
艦隊,fleet
食料,food
あり,can be
保険,insurance
得意,good at
医師,Doctor
英語,English
離婚,divorce
子ども,Child
違反,violation
公,public
維持,Maintaining
男の子,boy
政子,Politician
味,taste
口座,account
大勢,in great numbers
鉄,iron
親切,Kindness
仕業,Work
贈り物,gift
待機,stand-by
戦士,Warrior
知らせ,News
尋問,Interrogation
発射,firing
食べ物,food
系,system
駅,station
開発,development
事情,Situation
育て,Raising
上司,boss
国家,Nation
大使,Ambassador
機関,institution
生物,Biology
超え,Beyond
天才,genius
量,amount
横,beside
観,View
入り,enter
正気,sanity
人質,hostage
有罪,Guilty
約,about
中止,cancel
発表,publication
現金,cash
始末,Cleaning up
撮影,photograph
衛星,satellite
都合,circumstances
関連,connection
間に合,In time
小屋,Hut
公園,park
単純,Simple
王国,Kingdom
存知,Knowing
加え,In addition
道路,road
育,Raising
神父,Priest
慎重,Caution
生存,Survival
注文,order
物質,material
関心,interest
時期,season
駐車,Parking
乗れ,Riding
遺伝,Inheritance
返事,reply
エイリアン,alien
化学,Chemistry
数え,Counting
緊張,tension
優先,priority
米国,usa
当て,Welcome
出来事,event
設計,design
大量,Mass of large quantities
投げ,Throwing
内容,Content
機密,Secret
授業,class
義務,Duty
突き止め,Discontinuation
広,Widespread
通報,Report
文字,letter
アップ,up
学生,student
オリビア,Olivia
暗殺,assassination
注目,attention
暗号,Cipher
背中,back
囚人,Prisoner
完成,Complete
休み,holiday
孤独,Loneliness
アイデア,idea
武装,Armed
果た,End
地域,area
始まり,Beginning
見事,Brilliant
防衛,defense
人形,doll
カリフォルニア,California
着陸,landing
文句,Complaint
委員,Committee member
地元,local
自信,Confidence
貴女,you
知識,knowledge
予約,reserve
メアリー,Mary
椅子,Chair
教師,teacher
賛成,Agree
操作,operation
要請,request